date,femicides
2024-01-01,1
2024-01-05,2
2024-01-08,1
2024-01-11,2
2024-01-22,1
2024-02-02,1
2024-02-06,1
2024-02-07,1
2024-02-08,1
2024-02-09,1
2024-02-13,2
2024-02-14,1
2024-02-24,1
2024-02-26,1
2024-02-27,1
2024-03-01,1
2024-03-02,1
2024-03-08,1
2024-03-16,2
2024-03-28,1
2024-03-31,1
2024-04-03,1
2024-04-04,1
2024-04-05,1
2024-04-06,1
2024-05-10,1
2024-05-15,2
2024-05-17,1
2024-05-22,1
2024-05-25,1
2024-05-29,1
2024-06-07,1
2024-06-11,1
2024-06-12,1
2024-06-14,1
2024-06-16,1
2024-06-18,1
2024-06-21,1
2024-06-22,1
2024-06-24,1
2024-06-28,1
2024-06-29,1
2024-07-02,1
2024-07-04,1
2024-07-05,1
2024-07-07,1
2024-07-14,1
2024-07-18,1
2024-07-30,1
2024-08-01,1
2024-08-07,1
2024-08-09,1
2024-08-10,1
2024-08-19,3
2024-08-30,1
2024-09-07,1
2024-09-09,2
2024-09-10,2
2024-09-19,2
2024-09-21,1
2024-09-22,1
2024-09-23,1
2024-09-24,1
2024-09-25,2
2024-09-26,1
2024-10-05,1
2024-10-07,1
2024-10-09,1
2024-10-11,1
2024-10-15,1
2024-10-16,1
2024-10-17,1
2024-10-18,2
2024-10-23,1
2024-10-24,1
2024-10-25,2
2024-10-26,1
2024-11-09,1
2024-11-14,1
2024-11-18,1
2024-11-26,1
2024-12-04,1
2024-12-13,1
2024-12-16,1
2024-12-19,1
