"video_id","title","description","tags","published_at","channel_title","channel_id","category_id","duration","view_count","like_count","comment_count","language"
"wNV3BbQ7LU4","Femminicidio Martina Carbonaro, uccisa dall'ex a 14 anni: ""Era mia nipote, non si può morire così""","È stato rinvenuto il corpo senza vita di Martina Carbonaro, la 14enne scomparsa lunedì ad Afragola (Napoli). Era nella ex casa del custode del campo Moccia. Sul luogo del ritrovamento alcuni residenti sono andati a portare un fiore per la giovane ragazza uccisa. ""Nessuno si aspettava una cosa del genere - racconta lo zio di Martina in lacrime - quando è scomparsa ci siamo messi tutti a cercarla e poi la sera abbiamo ricevuto questa orribile notizia"".

https://www.fanpage.it/napoli/martina-carbonaro-colpita-con-una-pietra-in-testa-dallex-fidanzato-che-poi-ha-nascosto-il-cadavere/",NA,"2025-05-28T11:06:59Z","Fanpage.it","UCWJhBqnyVdHAuxexgjghNFw","25","PT2M25S","57258","729","608",NA
"8Ee__WzDHj4","In esclusiva al Tg1 le ultime immagini di Martina Carbonaro e Alessio Tucci prima del femminicidio","Le immagini mandate in onda in esclusiva dal Tg1 raccontano i minuti prima del femminicidio di Martina Carbonaro. La ragazza di 14 anni passeggia ad Afragola insieme con un'amica, poi arriva Alessio Tucci, l'ex fidanzato reo confesso del femminicidio.
 
#MartinaCarbonaro #AlessioTucci #femminicidio",NA,"2025-05-29T10:01:19Z","La Repubblica","UC9ePmjVRHLL8x8vq5fOKflg","1","PT34S","355219","1992","194","it"
"sUKj19zdSNA","Femminicidio di Martina, l'intervista ai genitori - Porta a Porta 29/05/2025","Scopri gli ultimi video in evidenza di Playlist24 su www.raiplay.it - ""Mai nessun sospetto, era innamoratissima di lui, che era molto geloso, ma lo voleva lasciare. Solo una volta Martina ci ha detto di aver ricevuto uno schiaffo da Alessio. L'abbiamo tenuto in casa con noi come un figlio"". Parlano i genitori di Martina Carbonaro, la 14enne uccisa da Alessio Tucci, di 17 anni, ad Afragola. Ma di fronte a questo delitto ci si interroga anche sull'età della vittima, che a 12 anni aveva già una storia d'amore importante con quello che poi diventerà il suo carnefice, considerato ""come un figlio"" dai suoi genitori.","Martina Carbonaro;Alessio Tucci;femminicidio;omicidio;fidanzato;genitori;intervista;vittima;carnefice;Porta a Porta;Rai1;RaiPlay","2025-05-30T10:22:46Z","Rai","UCKUzdt2sELyxd6mz-bAx3bA","25","PT3M24S","62484","344","364","it"
"jr6x5TKed6I","Femminicidio Martina Carbonaro, il fidanzato confessa: ""L'ho uccisa perché mi aveva lasciato""","Martina Carbonaro sarebbe stata uccisa dall'ex fidanzato, di poco più grande di lei. Il ragazzo si chiama Alessio Tucci ed ha 19 anni è del luogo e farebbe il muratore. 
La 14enne di Afragola (Napoli) era scomparsa dal tardo pomeriggio di lunedi 26 maggio. Il giorno della sua scomparsa aveva detto alla madre che sarebbe uscita con un’amica a mangiare uno yogurt. Poi avrebbe incontrato l’ex fidanzato. Poco dopo, il silenzio. Nessuna risposta al telefono, nessun ritorno a casa.

La notizia nell'edizione del Tg La7 delle 20:00 di mercoledì 28 maggio 2025 👉 https://tg.la7.it/cronaca/martina-carbonaro-afragola-fidanzato-28-05-2025-238280

#tgla7",NA,"2025-05-28T18:32:15Z","TG La7","UCYj2t05uU65UrlI1f0OGhlg","24","PT2M29S","11888","98","168","it"
"dClGViKSdh0","Femminicidio Martina Carbonaro, cosa ha fatto Alessio Tucci dopo averla uccisa [LA RICOSTRUZIONE]","Nel provvedimento di fermo per il 19enne Alessio Tucci, reo confesso dell’omicidio della 14enne Martina Carbonaro ad Afragola (Napoli), viene ricostruito il comportamento del ragazzo nelle fasi immediatamente successive. 

00:00 - 00:44 - Introduzione
00:44 - Le chat cancellate sul telefono di Martina Carbonaro
01:24 - L'omicidio nel casolare del campo Moccia
02:15 - Tucci incastrato dalle telecamere



https://youmedia.fanpage.it/video/aa/aDhxZeSw48ToQxcR",NA,"2025-05-29T15:11:43Z","Fanpage.it","UCWJhBqnyVdHAuxexgjghNFw","25","PT3M16S","31574","324","211",NA
"AlWh27t9D6g","Femminicidi, Meloni: ""La storia di Martina mi ha lasciato senza fiato""","La premier da Astana: ""Le leggi ci sono, gli strumenti ci sono, il tema è più ampio e forse non lo stiamo capendo veramente"".

Iscriviti al canale: https://www.youtube.com/tgcom24

Tutte le news su: https://www.tgcom24.mediaset.it/","news;notizia;notizie;tgcom;tgcom24;mediaset;mediasettgcom;mediasettgcom24","2025-05-30T15:59:27Z","Tgcom24","UCmoMxFxfjHJIicCv1eV_tSA","25","PT2M54S","7098","161",NA,NA
"IN2c0mHh8GA","Il femminicidio di Martina Carbonaro, uccisa dall'ex a 14 anni - Nel Caso Te Lo Fossi Perso EP53","Nel caso te lo fossi perso, 28 maggio: Martina Carbonaro aveva appena 14 anni: è stata uccisa ad Afragola dall’ex fidanzato, appena 19enne, che non accettava la fine della relazione e l’autodeterminazione di lei. Quello di Martina Carbonaro è l’ennesimo femminicidio in Italia, in cui la vittima è giovanissima: non è più accettabile, ora serve fare educazione sessuale ed affettiva nelle scuole.

⭐️ Questo contenuto è esclusivo per gli abbonati a Fanpage.it, ma solo per i primi mesi puoi ascoltarlo gratis.

🔗 Abbonati ora: clicca qui https://fanpa.ge/pndmP per sostenere il nostro lavoro ed accedere a tutti i contenuti esclusivi.","fanpagemedia;fanpage.it;youmedia;fanpage","2025-05-28T16:00:36Z","Fanpage.it","UCWJhBqnyVdHAuxexgjghNFw","25","PT5M23S","9153","296","152","it"
"_N9dRt-VPz4","Il padre dell'assassino di Martina Carbonaro: “Chiedo perdono per mio figlio ma non lo abbandono”","Parla Domenico Tucci, il padre di Alessio, il 19enne fermato dai carabinieri per il femminicidio di Martina Carbonaro: “Mio figlio deve pagare, ma non lo abbandonerò”. L'uomo, che vive anche lui ad Afragola, era con la famiglia di Martina durante le ricerche, ignaro, racconta, di quanto stesse accadendo.

https://www.fanpage.it/napoli/martina-carbonari-il-papa-di-alessio-tucci-capisco-che-la-famiglia-non-vuole-le-scuse-non-abbandono-mio-figlio/",NA,"2025-05-29T17:01:00Z","Fanpage.it","UCWJhBqnyVdHAuxexgjghNFw","25","PT3M46S","99975","785","832",NA
"ko0ZPrlQ4c8","Femminicidio di Afragola, parla il padre dell'assassino - La vita in diretta 29/05/2025","Scopri gli ultimi video in evidenza di Playlist24 su www.raiplay.it  - ""Siamo distrutti, non riusciamo a farcene una ragione. Alessio non era violento, era un bravo ragazzo, ha perso la testa, ora pagherà per quello che ha fatto"". Parla Domenico Tucci, il padre del killer di Martina Carbonaro, che ricorda anche la notte tra il 26 e il 27 maggio in cui partecipò col figlio alle ricerche della ragazza scomparsa, e si rivolge alla fine ai genitori di Martina: ""Noi stiamo provando un dolore diverso dal loro, ma lo stesso stiamo soffrendo e soffriremo sempre"".","La vita in diretta;Martina Carbonaro;omicidio;femminicidio;Alessio;attualità;cronaca","2025-05-29T17:14:19Z","Rai","UCKUzdt2sELyxd6mz-bAx3bA","25","PT2M15S","67566","230","348","it"
"9Aj6FYUg968","FEMMINICIDIO: Uccisa a 14 anni | Dott. Valerio Rosso | LIVE 146","🔴 Alessio Tucci (19 anni) ha ucciso Martina Carbonaro (14 anni). Un fatto di cronaca nera che ci colpisce, ci destabilizza, ci lascia con mille domande. Ma in questo video non voglio cadere nella trappola dell’indignazione sterile o del moralismo da social. Ergastolo si i orgastolo no?…. Voglio provare a guardare sotto la superficie.

I dati ci dicono che, nel complesso, gli omicidi sono in calo da decenni. Eppure, quando il gesto arriva da un ragazzo giovane, istruito, apparentemente “normale”, qualcosa ci obbliga a chiederci cosa non stiamo vedendo.

⭐️ Parleremo di come sempre più spesso siano i giovani a essere coinvolti in relazioni estreme, segnate da dipendenza, idealizzazione e incapacità di affrontare il rifiuto. Proveremo a capire come i social media stiano plasmando l’alfabeto emotivo e relazionale delle nuove generazioni. E metteremo in discussione alcuni modelli culturali obsoleti: come il matrimonio o la convivenza pensati ancora come destino, possesso o prigione.

Infine, forse la riflessione più urgente: non ci servono solo “adulti responsabili”, ci servono coppie genitoriali significative, modelli affettivi che insegnino con l’esempio cosa significa amare senza possedere, lasciare andare senza distruggere.

Questo video non è una sentenza, ma un invito a pensare.
A guardare più in profondità.
Perché comprendere, oggi, è già un atto rivoluzionario.

⭐️ LIFESTYLE MEDICINE, entra nel nuovo progetto: @LifestyleMedicineOfficial ⭐️

⭐️ ""ADHD Consapevole"", psicoeducazione, Lifestyle Medicine e Mindfulness per persone ADHD: https://lifeology.it/adhd-consapevole/?utm_source=yt_organico&utm_medium=go&utm_campaign=sp ⭐️

⭐️ TRAPPOLE MENTALI, Test Gratuito: https://lifeology.typeform.com/test-trappole/?utm_source=yt_organico&utm_medium=go&utm_campaign=testtrappole ⭐️

⭐️ CHANGE - Scienza e Arte del CAMBIAMENTO: https://lifeology.it/change/?utm_source=yt_organico&utm_medium=go&utm_campaign=sp ⭐️

⭐️ ""La Scienza degli Integratori"", scopri qui: https://lifeology.it/la-scienza-degli-integratori/ ⭐️

⭐️ VIDEO LEZIONE GRATIS ""Perché le diete non funzionano: la verità su fame nervosa e perdita peso"", ACCEDI QUI: https://lifeology.it/nutrizionalmente-sq-main/?utm_source=yt_organico&utm_medium=go&utm_campaign=sq_videolezione ⭐️

⭐️ SCOPRI il NUOVO Coaching di Gruppo ""NutrizionalMente"" per cambiare il tuo rapporto con il cibo per sempre. Candidati tramite un colloquio qui: https://lifeology.it/nutrizionalmente/?utm_source=yt_organico&utm_medium=go&utm_campaign=sq_videolezione ⭐️

⭐️ Scopri il VideoCorso ""PREVENZIONE PRATICA"": https://lifeology.it/prevenzione-pratica/ ⭐️

⭐️ Vai alla VideoLezione Gratutia ""PREVENZIONE EFFICACE"": https://lifeology.it/prevenzione-sq/ ⭐️

⭐️ Scopri “BODY BRAIN ROUTINE”, il nuovo libro di Valerio Rosso, Gennaro Romagnoli e Marco Zamboni: https://lifeology.it/bodybrain-routine/ ⭐️

⭐️ Scopri MoveMotivation, un'esperienza trasformativa per far emergere e consolidare la motivazione all'attività fisica: https://lifeology.it/move-motivation/?utm_source=yt_ads_ret&utm_medium=mm_vale_1⭐️

⭐️ Scarica GRATIS la tua copia di “psiq: Lifestyle Principles” ⭐️ È un eBook che ti permetterà di scoprire i principi della Lifestyle Medicine e migliorare drasticamente la tua vita: https://psiq.it/lifestyle-principles/ ⭐️

⭐️Iscriviti subito a MINDFITNESS, un mini corso GRATUITO in cui imparerai delle strategie pratiche per ottimizzare il tuo cervello: https://psinel.com/br-iscrizione-mini-corso-mindfitness/ ⭐️

⭐️ Scopri “psiq: Salute Mentale: Istruzioni per l’uso”, il nuovo libro del Dr. Valerio Rosso: https://bit.ly/psiqVR oppure anche https://www.psiq.it ⭐️

⭐️ Accedi adesso GRATUITAMENTE alla VideoLezione ""La Verità Scientifica sugli Integratori"": https://lifeology.it/integratori-sq/  ⭐️ 

Il Dott. Valerio Rosso è un medico specialista in neuroscienze e un pioniere italiano nella divulgazione della medicina dello stile di vita, riconosciuto per il suo impegno nella diffusione on line di informazioni basate su evidenze scientifiche. 

Il Dott. Rosso è autore di numerosi articoli scientifici e divulgativi, e partecipa regolarmente a conferenze e meeting come relatore, condividendo le sue conoscenze sui benefici di una vita sana e attiva. 

La sua dedizione alla medicina preventiva e al miglioramento delle performance cognitive e fisiche lo ha reso un punto di riferimento nel campo. Con una visione olistica della salute, il Dott. Rosso promuove un approccio che combina dieta, esercizio fisico, gestione dello stress, relazioni, controllo dell'ambiente e lotta alle DIPENDENZE per ottimizzare la qualità della vita delle persone che lo seguono sul suo ecosistema digitale.","valerio rosso;psichiatria;neuroscienze;lifestyle medicine;psiq;lifeology;medico;medicina;medicina preventiva;vivere meglio;benessere biopsicosociale;salute;benessere;salute psicofisica;longevità;prevenzione;alimentazione;nutrizione;gestione dello stress;attività fisica;motivazione;valerio rosso medico;dipendenze;superare le dipendenze;stress nascosto;stress;martina carbonaro;alessio tucci;afragola;femminicidio","2025-05-30T07:54:15Z","Dott. Valerio Rosso","UCVyGg6yFJJAPVS9NT-vVPKQ","27","PT41M","25681","1363","231","it"
